S.NO.,PROJECT,DESCRIPTION,PART CODE,SERIAL,OPENING STOCK,ISSUED,RECD.,CLOSING STOCK,TEST BENCH,ALMIRA NO,ZONE,BIN,PICTURE,TYPE,LOCATION,COMMON PROJECTS,VENDOR,VENDOR ADDRESS,OLD DESCRIPTION,OLD PARTCODE,REMARKS,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,FRM3.3.2 & VEGAS,RET MOTOR,469759A.209,,2,0,0,2,TUN2 TEST BENCH,M06,00A,SHELF 4,LPS SUPPLIED,KIT,M06-00A-SHELF 3,,NOKIA FINLAND,GERMANY,REMOTE CONTROL UNIT R3A ,469759A.209,,,,
2,FRM3.3.2 & VEGAS,VEGAS FXEF FRGX POWER ADAPTER PBA EA012971,P305509_01 ,,10,0,0,10,"TUN2 TEST BENCH,3.3.3.2 TEST BENCH",M03,00C,SHELF 2,POWER ADAPTER,CARD,M03-00C-BOX 15,,NOKIA FINLAND,FINLAND,VEGAS FXEF FRGX POWER ADAPTER,PBA P305509 ,,,,
3,FRM3.3.2 & VEGAS,B-SCAN PSU 1 ADAPTER,00079750 00,FXED PSU1 ADAPTER,75,0,0,75,TRX FE TEST BENCH,M03,00C,SHELF 3,TRX FE FIXTER,CARD,M03-00C-BOX 14,,NOKIA FINLAND,FINLAND,ETHERNET ADAPTOR,00079750 00,,,,
4,FRM3.3.2 & VEGAS,FRMC-R PA ADAPTER PWB EA023404 00076898_00,00079807 00,FRMC PA ADAPTER,16,0,0,16,TRX FE TEST BENCH,M03,00C,SHELF 2,TRX FE FIXTER,CARD,M03-00C-BOX 14,,NOKIA FINLAND,FINLAND,"RFM 3.2,3.3 PART (2)",00079807 00,,,,
5,FRM3.3.2 & VEGAS,FXED PSU3 ADAPTER ASSEMBLY EA028738,00079749 00,FXED PSU3 ADAPTER,30,0,0,30,TRX FE TEST BENCH,M03,00C,SHELF 5,TRX FE FIXTER,CARD,M03-00C-BOX 14,,NOKIA FINLAND,FINLAND,"RFM 3.2,3.3 PART (3)",00079749 00,,,,
6,FRM3.3.2 & VEGAS,B-SCAN PSU 2 ADAPTER,00079751 00,FXED PSU2 ADAPTER,15,0,0,15,TRX FE TEST BENCH,M03,00C,SHELF 4,TRX FE FIXTER,CARD,M03-00C-BOX 14,,NOKIA FINLAND,FINLAND,"RFM 3.2,3.3 PART (4)",00079751 00,,,,
7,FRM3.3.2 & VEGAS,FRM3.2 PA12C INTERFACE 00085388-00,00085389-00,,5,0,0,5,,M03,00C,SHELF 3,ADAPTER,CARD,M03-00C-BOX 7,,NOKIA FINLAND,FINLAND,FRM3.2 PA12C INTERFACE 00085388-00,00085389-00,,,,
8,FRM3.3.2 & VEGAS,FXEF PA PWR ADAPTER P308323-01,P308320-01,,17,0,0,17,,M03,00C,SHELF 1,ADAPTER,CARD,M03-00C-BOX 8,,NOKIA FINLAND,FINLAND,FXEF PA PWR ADAPTER P308323-01,P308320-01,,,,
9,FRM3.3.2 & VEGAS,3 PIN POWER CONNECTOR,PRE DIAGNOSTIC TEST BENCH NAC 31 CONNECTOR,,0,0,0,0,,M03,00C,SHELF 3,PRE DIAGNOSTIC TEST BENCH CUTTS 22,CONNECTOR,M03-00C-SHELF 3,,NOKIA FINLAND,FINLAND,PRE DIAGNOSTIC TEST BENCH NAC 31 CONNECTOR,PRE DIAGNOSTIC TEST BENCH NAC 31 CONNECTOR,,,,
10,FRM3.3.2 & VEGAS,"POWER SPLITTER, ZB3PD-2400W-S+K","POWER SPLITTER, ZB3PD-2400W-S+K",,3,0,0,3,CUTS 22 TEST BENCH,M03,00C,SHELF 4,INTERNAL PART,ADAPTER,M03-00C-SHELF 4,,ORBIS SYSTEM,INDIA,"POWER SPLITTER, ZB3PD-2400W-S+K","POWER SPLITTER, ZB3PD-2400W-S+K",,,,
